images,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同颜色及边数6.png,1,0,0,0,24,17.947502499911934,18.949066400062293,18.932287500007078,None,2,0,2.4663773998618126,1.011332299793139,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及边数9.png,1,0,1,1,27,21.43811129988171,22.439660199917853,22.423002999974415,None,1,1,6.214759800117463,1.0123213999904692,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及边数8.png,1,0,2,2,26,28.68259229999967,29.703695399919525,29.68699479987845,None,1,1,6.680171299958602,1.0356839001178741,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及位置8.png,2,0,3,3,6,36.41395900002681,37.41743250004947,37.40051669999957,None,2,1,4.6776192001998425,1.0179556999355555,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同位置及边数7.png,1,0,4,4,15,42.12659820006229,43.14746279991232,43.13081680005416,51.13798979995772,None,0,,1.0331576000899076,9.040327300084755,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同位置及边数1.png,1,0,5,5,9,51.17628919985145,52.18128010001965,52.16367809986696,60.17175980005413,None,0,,1.0201703000348061,9.028382299933583,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及位置10.png,2,0,6,6,8,60.20935909985565,61.213496800046414,61.19659819989465,None,2,1,3.809397399891168,1.0177820001263171,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及位置6.png,2,0,7,7,4,65.05456859990954,66.07610030006617,66.07610030006617,None,2,1,3.7946478000376374,1.033408700255677,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同位置及边数3.png,2,0,8,8,11,69.91731829987839,70.9186553999316,70.9186553999316,78.92591309989803,None,0,,1.0114721001591533,9.018714300123975,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及位置9.png,1,0,9,9,7,78.96281729987822,79.96573469997384,79.96573469997384,None,1,1,4.272355400025845,1.0164357000030577,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及位置7.png,1,0,10,10,5,84.29159240005538,85.29548650002107,85.27860099985264,None,1,1,4.153075200039893,1.017153600230813,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及边数10.png,2,0,11,11,28,89.4708901999984,90.47458179993555,90.45764639996924,None,2,1,4.204422599868849,1.0171245001256466,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及边数4.png,2,0,12,12,22,94.70007959986106,95.70416940003633,95.68723709997721,None,2,1,3.6948812999762595,1.0168272003065795,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及位置4.png,1,0,13,13,2,99.4283547999803,100.4323574998416,100.4323574998416,None,1,1,3.037543899845332,1.0133392999414355,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及边数3.png,2,0,14,14,21,103.50621749996208,104.528618699871,104.51110949995928,112.51906349998899,None,0,,1.0344841999467462,9.042558199958876,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及位置2.png,2,0,15,15,0,112.55678860004991,113.5601307998877,113.5432293000631,None,1,0,2.0390310001093894,1.007044300204143,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及位置5.png,1,0,16,16,3,115.63300629984587,116.65456659998745,116.637785699917,None,1,1,1.3442363000940531,1.0331482999026775,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及边数2.png,1,0,17,17,20,118.02671330003068,119.04827490006573,119.03133310005069,None,1,1,7.431312300032005,1.0349352001212537,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同位置及边数8.png,1,0,18,18,16,126.51000209990889,127.53080739988945,127.51396410004236,135.52133419993334,None,0,,1.0292325001209974,9.036598300095648,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同位置及边数5.png,1,0,19,19,13,135.55897210002877,136.56421029986814,136.54726299992763,None,1,1,6.050667499890551,1.0205826999153942,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同位置及边数2.png,1,0,20,20,10,142.6403969998937,143.66285489988513,143.64540999988094,None,1,1,4.248482099967077,1.0345401999074966,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同位置及边数10.png,1,0,21,21,18,147.9367007999681,148.94114999985322,148.92355820001103,None,1,1,4.218385000014678,1.0123171999584883,None,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
Task samples\相同颜色及边数5.png,1,0,22,22,23,153.1826746999286,154.18643669993617,154.15289289993234,162.16017399984412,None,0,,1.0027143000625074,9.009993100073189,2,001,2021_Aug_09_1621,Demo,2021.2.1,59.930947524844186,
