images,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同颜色及边数5.png,1,0,0,0,23,,,,,18.37100789998658,19.372427199967206,19.355132000055164,None,1,1,0.9314445001073182,1.0032649000640959,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数1.png,1,0,1,1,9,,,,,20.34763800003566,21.390773700084537,21.37416459992528,None,2,0,0.28006560006178916,1.0450797399971634,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及边数1.png,1,0,2,2,19,,,,,21.69497280009091,22.717284499900416,22.717284499900416,None,1,1,0.2571059998590499,1.0283641600981355,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数3.png,2,0,3,3,11,,,,,23.02185959997587,24.042691600043327,24.025963499909267,None,2,1,0.22050559986382723,1.0265655601397157,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及位置3.png,2,0,4,4,1,,,,,24.297341499943286,25.339771900093183,25.339771900093183,None,2,1,0.042158399941399693,1.0466692599002272,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及位置9.png,1,0,5,5,7,,,,,25.448274200083688,26.491367799928412,26.47476390004158,None,2,0,0.25133990007452667,1.0489273401908576,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数9.png,2,0,6,6,17,,,,,26.803338600089774,27.845807200064883,27.82916079997085,None,1,0,0.0813589000608772,1.0462546998169273,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数2.png,1,0,7,7,10,,,,,27.991864999989048,29.03418600000441,29.017604999942705,None,1,1,0.09205209999345243,1.0451201999094337,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及位置7.png,1,0,8,8,5,,,,,29.155321500031278,30.176933499984443,30.176933499984443,None,1,1,0.23719129990786314,1.0334098599851131,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及位置5.png,1,0,9,9,3,,,,,30.465187900001183,31.508316199993715,31.491665600100532,None,2,0,0.12975610001012683,1.0467518400400877,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及边数4.png,2,0,10,10,22,,,,,31.662004800047725,32.70441180001944,32.68769899988547,None,2,1,0.15070050000213087,1.046492159832269,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及边数7.png,2,0,11,11,25,,,,,32.875893800053746,33.918344900012016,33.918344900012016,None,1,0,0.023293699836358428,1.047759460285306,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数10.png,1,0,12,12,18,,,,,34.01021279999986,35.0358680000063,35.019217799883336,None,2,0,0.042789499973878264,1.0408838400617242,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数4.png,1,0,13,13,12,,,,,35.10686479997821,36.12839359999634,36.12839359999634,None,1,1,0.10201940010301769,1.034241960151121,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及位置10.png,2,0,14,14,8,,,,,36.26841209991835,37.31095340009779,37.294274100102484,None,2,1,0.21569949993863702,1.046787440078333,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及边数8.png,1,0,15,15,26,,,,,37.54872539988719,38.550253599882126,38.550253599882126,None,2,0,0.015488599892705679,1.0121013598982245,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数8.png,1,0,16,16,16,,,,,38.60384740005247,39.64623529999517,39.629588699899614,None,1,1,0.05638070008717477,1.0476027599070221,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及边数6.png,1,0,17,17,24,,,,,39.77544009988196,40.817962100030854,40.801286899950355,None,2,0,0.028447399847209454,1.0432354998774827,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数5.png,1,0,18,18,13,,,,,40.893094500061125,41.91469940007664,41.89788719988428,None,1,1,0.28456979990005493,1.023700239835307,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及边数3.png,2,0,19,19,21,,,,,42.24000070011243,43.261586900101975,43.24492399999872,None,1,0,0.18496149987913668,1.0292217400856316,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及位置4.png,1,0,20,20,2,,,,,43.466043000109494,44.508283799979836,44.49177860002965,None,2,0,0.07443659985437989,1.0445995600894094,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及边数2.png,1,0,21,21,20,,,,,44.633663800079376,45.63923570001498,45.62154709990136,None,1,1,0.041402000002563,1.0073380400426686,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数7.png,1,0,22,22,15,,,,,45.70948589988984,46.731126399943605,46.714389899978414,None,2,0,0.03593949996866286,1.028462460031733,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及位置6.png,2,0,23,23,4,,,,,46.802203400060534,47.84465390001424,47.84465390001424,None,2,1,0.1137620999943465,1.0470158599782735,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及位置8.png,2,0,24,24,6,,,,,47.99898519995622,49.00377850001678,49.00377850001678,None,2,1,0.12217600014992058,1.0107292600441724,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及位置2.png,2,0,25,25,0,,,,,49.19161450001411,50.213257000083104,50.19648969988339,None,2,1,0.057534300023689866,1.028372140135616,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及边数10.png,2,0,26,26,28,,,,,50.30094220000319,51.343360600061715,51.343360600061715,59.35124249989167,None,0,,1.0522941597737372,9.060297559946775,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同位置及边数6.png,2,0,27,27,14,,,,,59.388131600106135,60.38962469995022,60.37294950010255,None,2,1,7.024571599904448,1.011734060011804,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
Task samples\相同颜色及边数9.png,1,0,28,28,27,,,,,67.47033510007896,68.49180059996434,68.49180059996434,None,1,1,1.1225037998519838,1.0322819398716092,None,3,001,2021_Aug_10_1013,Demo,2021.2.1,59.9672817973903,
