images,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Fixation2.started,Fixation2.stopped,Trial2.started,Trial2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同位置及边数8.png,1,0,0,0,16,,,,,118.70337209990248,119.704550499795,119.68792029982433,None,1,1,2.1671549999155104,1.004675780190155,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及位置8.png,2,0,1,1,6,,,,,121.91588460002095,122.92076409980655,122.90379019989632,None,2,1,0.20704389992170036,1.005774580175057,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及位置10.png,2,0,2,2,8,,,,,123.1834544998128,124.22588889999315,124.209181800019,None,2,1,0.08610999980010092,1.0401753799524158,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数3.png,2,0,3,3,21,,,,,124.36893159989268,125.4119628998451,125.39459139993414,None,1,0,0.3721570000052452,1.0420402802992612,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同位置及边数3.png,2,0,4,4,11,,,,,125.8391727998387,126.88236219994724,126.86572949984111,None,2,1,0.1175424000248313,1.0433681800495833,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数6.png,1,0,5,5,24,,,,,127.04425179981627,128.08255709987134,128.06568969995715,None,1,1,0.0855880999006331,1.0361289801076055,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及位置5.png,1,0,6,6,3,,,,,128.22850929992273,129.27162189991213,129.2543136999011,None,2,0,0.016953199869021773,1.0549104802776128,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同位置及边数5.png,1,0,7,7,13,,,,,129.3304376997985,130.37281779991463,130.35614910000004,None,1,1,0.12333609978668392,1.044308280106634,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同位置及边数1.png,1,0,8,8,9,,,,,130.5491333999671,131.5915152998641,131.57481939997524,None,1,1,4.712580400053412,1.0427885800600052,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数2.png,1,0,9,9,20,,,,,136.35830949991941,137.40067689982243,137.38402759982273,None,1,1,0.479241699911654,1.0399983800016344,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及位置7.png,1,0,10,10,5,,,,,137.93037989991717,138.97345940000378,138.95609129988588,None,2,0,0.28303799987770617,1.0429631799925119,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同位置及边数10.png,1,0,11,11,18,,,,,139.2979038998019,140.34123269980773,140.32458189991303,None,1,1,0.15440639993175864,1.0521647098939866,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及位置2.png,2,0,12,12,0,,,,,140.552818399854,141.59537919983268,141.59537919983268,149.60319519997574,None,0,,1.0565401799976826,9.064482579939067,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及位置4.png,1,0,13,13,2,,,,,149.66097079985775,150.70407869992778,150.68667609989643,158.6945113998372,None,0,,1.0477656100410968,9.055727810133249,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及位置6.png,2,0,14,14,4,,,,,158.75326009979472,159.77978699980304,159.76206009997986,None,1,0,6.933075899956748,1.026337780058384,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数7.png,2,0,15,15,25,,,,,166.77743859984912,167.78267239988782,167.76522609987296,None,2,1,0.09039900009520352,1.016876979963854,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同位置及边数6.png,2,0,16,16,14,,,,,167.9238238998223,168.9618139998056,168.94497469998896,None,2,1,0.021281300112605095,1.0380721802357584,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同位置及边数9.png,2,0,17,17,17,,,,,169.01631619990803,170.0378676999826,170.02119289990515,None,1,0,1.8819344998337328,1.0226133400574327,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及位置3.png,2,0,18,18,1,,,,,171.9645412999671,172.9863094999455,172.96943879988976,None,1,0,0.004807299934327602,1.0248899802099913,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数1.png,1,0,19,19,19,,,,,173.02376279979944,174.0662817999255,174.04968409985304,None,2,0,0.16545139998197556,1.0559956401120871,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数4.png,2,0,20,20,22,,,,,174.2747665999923,175.30009049992077,175.30009049992077,None,2,1,0.8903248000424355,1.0343211099971086,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同位置及边数7.png,1,0,21,21,15,,,,,176.24080869997852,177.28379619983025,177.26722459984012,None,1,1,1.4036254999227822,1.047110410174355,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及位置9.png,1,0,22,22,7,,,,,178.74529249989428,179.76684669987299,179.7500789000187,None,2,0,4.320967499865219,1.0218458799645305,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同位置及边数2.png,1,0,23,23,10,,,,,184.13037529983558,185.1727777000051,185.15611819992773,None,1,1,0.5790432000067085,1.043497680220753,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同位置及边数4.png,1,0,24,24,12,,,,,185.7984505998902,186.81998949986883,186.80321639985777,None,1,1,5.244140100199729,1.0329020097851753,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数5.png,1,0,25,25,23,,,,,192.11642219987698,193.13819639990106,193.12153339991346,None,2,0,0.15684850001707673,1.0250754803419113,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数10.png,2,0,26,26,28,,,,,193.32802579994313,194.37054849998094,194.35386419994757,None,1,0,0.23717770003713667,1.0461822098586708,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数9.png,1,0,27,27,27,,,,,194.66363199986517,195.70606529992074,195.6893927999772,None,1,1,0.30923739983700216,1.0436867801472545,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同颜色及边数8.png,1,0,28,28,26,,,,,196.0854758999776,197.12799889990129,197.11137839988805,None,1,1,0.25509729981422424,1.054656679974869,None,,,,,,,,,,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同的数列规律 3.png,2,,,,,0,0,0,11,,,,,,,,,,197.43720809998922,198.43878959980793,198.42210139986128,None,1,0,0.8721300000324845,1.0099304800387472,None,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同的奇偶规律 2.png,2,,,,,0,1,1,0,,,,,,,,,,199.34317060001194,200.36455199983902,200.36455199983902,None,1,0,1.986968400189653,1.0349157396703959,None,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同的奇偶规律 7.png,2,,,,,0,2,2,5,,,,,,,,,,202.3885667999275,203.43172929994762,203.43172929994762,None,1,0,0.1267381999641657,1.048660540021956,None,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同的数列规律 1.png,1,,,,,0,3,3,9,,,,,,,,,,203.602109399857,204.6452698998619,204.6452698998619,212.65236039995216,None,0,,1.053040340077132,9.060106239980087,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同的位置规律 3.png,2,,,,,0,4,4,21,,,,,,,,,,212.68932519992813,213.73171419999562,213.73171419999562,221.7395812999457,None,0,,1.0530460400041193,9.061035040067509,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同的位置规律 8.png,2,,,,,0,5,5,26,,,,,,,,,,221.8180400999263,222.82276189979166,222.80574909993447,230.81393479998223,None,0,,1.0142502503003925,9.022560250246897,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同的位置规律 5.png,1,,,,,0,6,6,23,,,,,,,,,,230.850801799912,231.89329599984922,231.89329599984922,239.90112259984016,None,0,,1.0513506401330233,9.059298740234226,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同的位置规律 7.png,1,,,,,0,7,7,25,,,,,,,,,,239.93806099984795,240.95944319991395,240.95944319991395,248.96683449996635,None,0,,1.0309309400618076,9.03831973997876,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
Task samples\相同的数列规律 8.png,1,,,,,0,8,8,16,,,,,,,,,,249.00448969984427,250.0258717997931,250.0258717997931,258.0338900999632,None,0,,1.0314733400009573,9.03961254004389,3,001,2021_Aug_10_1018,Demo,2021.2.1,59.92839753562841,
