images,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,Fixation2.started,Fixation2.stopped,Trial2.started,Trial2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同颜色及位置3.png,2,0,0,0,1,,,,,106.66117909993045,107.66285769990645,107.66285769990645,None,None,0,1.0146857597865164,None,,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同颜色及边数5.png,1,0,1,1,23,,,,,115.69013400003314,116.69515100005083,116.67849289998412,None,None,0,1.0246327600907534,None,,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同位置及边数1.png,1,0,2,2,9,,,,,124.6739076001104,125.67880230001174,125.6615728000179,None,None,0,1.0116566598881036,None,,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同位置及边数5.png,1,0,3,3,13,,,,,133.66860429989174,134.67242949991487,134.65557410009205,None,None,0,1.0158465600106865,None,,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同颜色及边数10.png,2,0,4,4,28,,,,,142.66737059992738,143.68469920009375,143.66796909994446,None,2,1,1.0203478599432856,None,6.370676700025797,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同颜色及位置10.png,2,0,5,5,8,,,,,150.07811330002733,151.08299589995295,151.0660161001142,None,2,1,1.0168455599341542,None,0.06002809992060065,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同位置及边数2.png,1,0,6,6,10,,,,,151.1714107999578,152.17521980009042,152.1575972000137,None,2,0,1.0144256600178778,None,0.07225139997899532,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同颜色及位置2.png,2,0,7,7,0,,,,,152.2788807998877,153.3004916999489,153.28379500005394,None,2,1,1.0340442601591349,None,0.5703133998904377,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同颜色及位置4.png,1,0,8,8,2,,,,,153.9051763000898,154.91041520005092,154.89273829990998,None,1,1,1.0182443601079285,None,0.018158600199967623,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同颜色及边数6.png,1,0,9,9,24,,,,,154.94804859999567,155.95048510003835,155.9336864000652,None,2,0,1.0146051601041108,None,0.1444284999743104,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同颜色及边数1.png,1,0,10,10,19,,,,,156.12173920008354,157.12365729990415,157.10696709994227,None,2,0,1.0149839601945132,None,0.13084329990670085,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同位置及边数4.png,1,0,11,11,12,,,,,157.27823749999516,158.2814857000485,158.26451130001806,None,2,0,1.0139640599954873,None,0.22256699996069074,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同位置及边数7.png,1,0,12,12,15,,,,,158.53683139989153,159.53962099994533,159.52270109998062,None,2,0,1.0172294599469751,None,0.043226399924606085,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同颜色及边数3.png,2,0,13,13,21,,,,,159.6105279000476,None,160.59510740009136,None,2,1,1.0044156599324197,None,0.002713299822062254,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
Task samples\相同位置及边数9.png,2,0,14,14,17,,,,,160.63300730008632,161.63781170011498,161.62093989993446,None,1,0,1.0081728601362556,None,0.025147499982267618,,,,,,,,,,3,001,2021_Aug_10_1147,Demo,2021.2.1,59.68998221404265,
