images,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,key_resp.rt,Fixation2.started,Fixation2.stopped,Trial2.started,Trial2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同位置及边数2.png,1,0,0,0,10,,,,,59.53958690003492,60.54059560003225,60.54059560003225,None,None,0,1.0149198399158195,None,,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同颜色及位置9.png,1,0,1,1,7,,,,,68.54616830009036,69.59241050004493,69.59241050004493,None,None,0,1.0304299700073898,None,,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同颜色及位置10.png,2,0,2,2,8,,,,,77.5575868000742,78.55835579999257,78.52520610007923,86.53296410001349,None,0,1.000886739930138,None,,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同颜色及边数2.png,1,0,3,3,20,,,,,86.56983210006729,87.5705953000579,87.55392030009534,None,None,0,1.0077023400226608,None,,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同颜色及位置2.png,2,0,4,4,0,,,,,95.54531549999956,96.54607690009288,96.54607690009288,None,None,0,1.0083892699331045,None,,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同位置及边数8.png,1,0,5,5,16,,,,,104.55833980010357,105.55823830002919,105.52566790010314,None,1,1,1.0037556398892775,None,6.526162499911152,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同位置及边数1.png,1,0,6,6,9,,,,,112.10171240009367,113.10257500002626,113.06899390008766,None,2,0,1.015668139909394,None,0.07735279994085431,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同颜色及边数6.png,1,0,7,7,24,,,,,113.20693990006112,114.20769629999995,114.19173120008782,None,2,0,1.0159917400451377,None,0.07547430007252842,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同颜色及边数7.png,2,0,8,8,25,,,,,114.31202720000874,115.31251790001988,115.27938840002753,None,2,1,0.9996133401291445,None,0.1716711000772193,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同位置及边数7.png,1,0,9,9,15,,,,,115.50037260004319,116.50121830007993,116.48463700001594,None,2,0,1.0137765399413183,None,0.15045780001673847,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同颜色及位置4.png,1,0,10,10,2,,,,,116.65555150003638,117.65624470007606,117.65624470007606,None,1,1,1.00585896987468,None,0.09881080000195652,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同位置及边数3.png,2,0,11,11,11,,,,,117.793880000012,118.79468940000515,118.76132930000313,None,1,0,0.9993768400745466,None,0.05098479997832328,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同颜色及边数3.png,2,0,12,12,21,,,,,118.84965240000747,119.84982030000538,119.83392430003732,None,1,0,1.0154820398893207,None,0.06603420001920313,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
Task samples\相同位置及边数5.png,1,0,13,13,13,,,,,119.93748700001743,120.93903020001017,120.92238150001504,None,1,1,1.0165564399212599,None,0.04053410002961755,,,,,,,,,,,001,2021_Aug_18_1623,Demo,2021.2.1,59.6830709474172,
