images,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Cue.started,Cue.stopped,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,button_1.started,button_1.stopped,button_1.numClicks,button_1.timesOn,button_1.timesOff,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同颜色及位置7.png,0,0,0,6,6.965651599981356,None,7.986235999967903,8.98699399997713,8.970319799962454,None,8.970319799962454,None,1,[1.3882626999984495],[1.388265900022816],8.970319799962454,None,0,,,,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
Task samples\相同颜色及位置9.png,0,1,1,8,,,10.37940889998572,11.400955199962482,11.3841738999472,None,11.3841738999472,None,1,[1.3882626999984495],[1.388265900022816],11.3841738999472,None,1,[2.1183033999986947],[2.1183063999633305],,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
Task samples\相同颜色及位置5.png,0,2,2,4,,,13.503684899944346,14.525973599986173,14.508561999944504,None,14.508561999944504,None,2,"[1.3882626999984495, 1.7161200999980792]","[1.388265900022816, 1.7161230000201613]",14.508561999944504,None,1,[2.1183033999986947],[2.1183063999633305],,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
Task samples\相同颜色及位置3.png,0,3,3,2,,,16.224849699996412,17.24644829996396,17.229552699951455,None,17.229552699951455,None,2,"[1.3882626999984495, 1.7161200999980792]","[1.388265900022816, 1.7161230000201613]",17.229552699951455,None,2,"[2.1183033999986947, 3.43877380003687]","[2.1183063999633305, 3.438776599999983]",,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
Task samples\相同颜色及位置8.png,0,4,4,7,,,20.66983979998622,21.691310599970166,21.674755699990783,None,21.674755699990783,None,3,"[1.3882626999984495, 1.7161200999980792, 1.5236344000441022]","[1.388265900022816, 1.7161230000201613, 1.5236506000510417]",21.674755699990783,None,2,"[2.1183033999986947, 3.43877380003687]","[2.1183063999633305, 3.438776599999983]",,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
Task samples\相同颜色及位置1.png,0,5,5,0,,,23.197804799943697,24.21964249998564,24.202705699950457,None,24.202705699950457,None,3,"[1.3882626999984495, 1.7161200999980792, 1.5236344000441022]","[1.388265900022816, 1.7161230000201613, 1.5236506000510417]",24.202705699950457,None,3,"[2.1183033999986947, 3.43877380003687, 1.1416084000375122]","[2.1183063999633305, 3.438776599999983, 1.1416115000029095]",,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
Task samples\相同颜色及位置2.png,0,6,6,1,,,25.345853799954057,26.368175399955362,26.350651199987624,None,26.350651199987624,None,3,"[1.3882626999984495, 1.7161200999980792, 1.5236344000441022]","[1.388265900022816, 1.7161230000201613, 1.5236506000510417]",26.350651199987624,None,3,"[2.1183033999986947, 3.43877380003687, 1.1416084000375122]","[2.1183063999633305, 3.438776599999983, 1.1416115000029095]",,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
Task samples\相同颜色及位置4.png,0,7,7,3,,,34.37184259999776,35.393431499949656,35.37665539997397,34.37184259999776,35.37665539997397,34.37184259999776,4,"[1.3882626999984495, 1.7161200999980792, 1.5236344000441022, 1.9382952000014484]","[1.388265900022816, 1.7161230000201613, 1.5236506000510417, 1.9382982000242919]",35.37665539997397,34.37184259999776,3,"[2.1183033999986947, 3.43877380003687, 1.1416084000375122]","[2.1183063999633305, 3.438776599999983, 1.1416115000029095]",,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
Task samples\相同颜色及位置10.png,0,8,8,9,,,37.316832199983764,38.33843279996654,38.320958099968266,None,38.320958099968266,None,5,"[1.3882626999984495, 1.7161200999980792, 1.5236344000441022, 1.9382952000014484, 1.1448546000174247]","[1.388265900022816, 1.7161230000201613, 1.5236506000510417, 1.9382982000242919, 1.144857699982822]",38.320958099968266,None,3,"[2.1183033999986947, 3.43877380003687, 1.1416084000375122]","[2.1183063999633305, 3.438776599999983, 1.1416115000029095]",,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
Task samples\相同颜色及位置6.png,0,9,9,5,,,39.46654799999669,40.47149649995845,40.45458829996642,None,40.45458829996642,None,6,"[1.3882626999984495, 1.7161200999980792, 1.5236344000441022, 1.9382952000014484, 1.1448546000174247, 3.4353328000288457]","[1.388265900022816, 1.7161230000201613, 1.5236506000510417, 1.9382982000242919, 1.144857699982822, 3.43533569999272]",40.45458829996642,None,3,"[2.1183033999986947, 3.43877380003687, 1.1416084000375122]","[2.1183063999633305, 3.438776599999983, 1.1416115000029095]",,001,2021_Jul_26_1553,Demo,2021.2.1,59.83695626002428,
