images,texts,pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Cue.started,Cue.stopped,instructions.started,instructions.stopped,Fixation1.started,Fixation1.stopped,Trial1.started,Trial1.stopped,button_1.started,button_1.stopped,button_1.numClicks,button_1.timesOn,button_1.timesOff,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
Task samples\相同颜色及位置2.png,12,"(0, 0.02)",0,0,0,1,6.995265699981246,7.99668899999233,7.946016200003214,None,13.976391599979252,14.979641999991145,14.962794199993368,None,14.962794199993368,None,0,,,14.962794199993368,None,1,[4.86731930001406],[4.867322200036142],,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
Task samples\相同颜色及位置7.png,17,"(0, 0.07)",0,1,1,6,,,,,19.8506686000037,20.85486799996579,20.83808269997826,None,20.83808269997826,None,1,[3.0352711000014096],[3.0352737000212073],20.83808269997826,None,1,[4.86731930001406],[4.867322200036142],,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
Task samples\相同颜色及位置10.png,20,"(0, 0.1)",0,2,2,9,,,,,23.857123799971305,24.874170299968682,24.85739509999985,None,24.85739509999985,None,1,[3.0352711000014096],[3.0352737000212073],24.85739509999985,None,2,"[4.86731930001406, 2.3319844999932684]","[4.867322200036142, 2.3319872000138275]",,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
Task samples\相同颜色及位置6.png,16,"(0, 0.06)",0,3,3,5,,,,,27.191791699966416,28.21269369998481,28.19605520000914,None,28.19605520000914,None,1,[3.0352711000014096],[3.0352737000212073],28.19605520000914,None,3,"[4.86731930001406, 2.3319844999932684, 2.1699052000185475]","[4.867322200036142, 2.3319872000138275, 2.169920500018634]",,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
Task samples\相同颜色及位置4.png,14,"(0, 0.04)",0,4,4,3,,,,,30.363674699969124,31.385923199995887,31.368636699975468,None,31.368636699975468,None,2,"[3.0352711000014096, 3.3829782999819145]","[3.0352737000212073, 3.3829936999827623]",31.368636699975468,None,3,"[4.86731930001406, 2.3319844999932684, 2.1699052000185475]","[4.867322200036142, 2.3319872000138275, 2.169920500018634]",,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
Task samples\相同颜色及位置1.png,11,"(0, 0.01)",0,5,5,0,,,,,34.750081999984104,35.772515999968164,35.75515539996559,None,35.75515539996559,None,3,"[3.0352711000014096, 3.3829782999819145, 4.179310000035912]","[3.0352737000212073, 3.3829936999827623, 4.179312399995979]",35.75515539996559,None,3,"[4.86731930001406, 2.3319844999932684, 2.1699052000185475]","[4.867322200036142, 2.3319872000138275, 2.169920500018634]",,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
Task samples\相同颜色及位置5.png,15,"(0, 0.05)",0,6,6,4,,,,,39.93427299999166,40.93921300000511,40.92243159998907,None,40.92243159998907,None,4,"[3.0352711000014096, 3.3829782999819145, 4.179310000035912, 2.796342200017534]","[3.0352737000212073, 3.3829936999827623, 4.179312399995979, 2.7963446999783628]",40.92243159998907,None,3,"[4.86731930001406, 2.3319844999932684, 2.1699052000185475]","[4.867322200036142, 2.3319872000138275, 2.169920500018634]",,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
Task samples\相同颜色及位置8.png,18,"(0, 0.08)",0,7,7,7,,,,,43.719296999974176,44.7243446999928,44.70761990000028,None,44.70761990000028,None,4,"[3.0352711000014096, 3.3829782999819145, 4.179310000035912, 2.796342200017534]","[3.0352737000212073, 3.3829936999827623, 4.179312399995979, 2.7963446999783628]",44.70761990000028,None,4,"[4.86731930001406, 2.3319844999932684, 2.1699052000185475, 3.4474658999824896]","[4.867322200036142, 2.3319872000138275, 2.169920500018634, 3.4474685000022873]",,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
Task samples\相同颜色及位置9.png,19,"(0, 0.09)",0,8,8,8,,,,,48.15679709997494,49.15693230001489,49.141006399993785,None,49.141006399993785,None,5,"[3.0352711000014096, 3.3829782999819145, 4.179310000035912, 2.796342200017534, 3.6045959000475705]","[3.0352737000212073, 3.3829936999827623, 4.179312399995979, 2.7963446999783628, 3.604598400008399]",49.141006399993785,None,4,"[4.86731930001406, 2.3319844999932684, 2.1699052000185475, 3.4474658999824896]","[4.867322200036142, 2.3319872000138275, 2.169920500018634, 3.4474685000022873]",,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
Task samples\相同颜色及位置3.png,ddd,"(0, 0.03)",0,9,9,2,,,,,52.76713860000018,53.788060799997766,53.771385699976236,None,53.771385699976236,None,6,"[3.0352711000014096, 3.3829782999819145, 4.179310000035912, 2.796342200017534, 3.6045959000475705, 5.992764300026465]","[3.0352737000212073, 3.3829936999827623, 4.179312399995979, 2.7963446999783628, 3.604598400008399, 5.992766799987294]",53.771385699976236,None,4,"[4.86731930001406, 2.3319844999932684, 2.1699052000185475, 3.4474658999824896]","[4.867322200036142, 2.3319872000138275, 2.169920500018634, 3.4474685000022873]",,001,2021_Jul_27_1436,Demo,2021.2.1,59.88095665794718,
