trialN,images1,duration1,images2,duration2,images3,duration3,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,image1.started,image1.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,image.started,image.stopped,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,taskSamples\A6_1.png,8,None,0,None,0,1,0,0,0,0,8.738409799989313,None,9.527572099934332,None,None,0,9.527572099934332,None,17.55428336991463,None,17.55428336991463,None,None,0,17.55428336991463,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
2,taskSamples\A20_2.png,8,None,0,None,0,2,0,1,1,1,17.570177399902605,None,18.413614099961706,None,None,0,18.413614099961706,None,26.438004569965415,None,26.438004569965415,None,None,0,26.438004569965415,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
3,taskSamples\B17.png,5,None,0,None,0,2,0,2,2,2,26.43732409994118,None,27.2651923999656,None,None,0,27.2651923999656,None,32.27232566999737,None,32.27232566999737,None,None,0,32.27232566999737,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
4,taskSamples\B8.png,5,None,0,None,0,2,0,3,3,3,32.28907519998029,None,33.11074099992402,None,None,0,33.11074099992402,None,38.15996866999194,None,38.15996866999194,None,None,0,38.15996866999194,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
5,taskSamples\C4_Spatial_ADD_1.png,8,taskSamples\C4_Spatial_ADD_2.png,2,taskSamples\C4_Spatial_ADD_3.png,5,1,0,4,4,4,38.16006479994394,None,38.98176709993277,None,None,0,38.98176709993277,None,47.01771819998976,None,49.036469999933615,None,None,0,49.036469999933615,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
6,taskSamples\C3_Episodic_SUB_1.png,8,taskSamples\C3_Episodic_SUB_2.png,2,taskSamples\C3_Episodic_SUB_3.png,5,1,0,5,5,5,54.074231799924746,None,54.89839899993967,None,None,0,54.89839899993967,None,62.968650799943134,None,65.00292689993512,None,None,0,65.00292689993512,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
7,taskSamples\B18.png,5,None,0,None,0,2,0,6,6,6,70.0081715999404,None,70.82983039994724,None,None,0,70.82983039994724,None,75.84566316998098,None,75.84566316998098,None,None,0,75.84566316998098,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
8,taskSamples\B2.png,5,None,0,None,0,2,0,7,7,7,75.84581579989754,None,76.66823389998171,None,None,0,76.66823389998171,None,81.68452846992295,None,81.68452846992295,None,None,0,81.68452846992295,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
9,taskSamples\A14_2.png,8,None,0,None,0,2,0,8,8,8,81.68444769992493,None,82.5076957999263,None,None,0,82.5076957999263,None,90.5258954699384,None,90.5258954699384,None,None,0,90.5258954699384,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
10,taskSamples\A15_2.png,8,None,0,None,0,2,0,9,9,9,90.52559239999391,None,91.34286019997671,None,None,0,91.34286019997671,None,99.3898781699827,None,99.3898781699827,None,None,0,99.3898781699827,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
11,taskSamples\B1.png,5,None,0,None,0,2,0,10,10,10,99.38996619998943,None,100.21244029991794,None,None,0,100.21244029991794,None,105.27515866991598,None,105.27515866991598,None,None,0,105.27515866991598,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
12,taskSamples\B11.png,5,None,0,None,0,2,0,11,11,11,105.29182259994559,None,106.1125334999524,None,None,0,106.1125334999524,None,111.14272596989758,None,111.14272596989758,None,None,0,111.14272596989758,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
13,taskSamples\A1_1.png,8,None,0,None,0,2,0,12,12,12,111.15953119995538,None,111.98116520000622,None,None,0,111.98116520000622,None,120.0039078699192,None,120.0039078699192,None,None,0,120.0039078699192,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
14,taskSamples\A9_1.png,8,None,0,None,0,1,0,13,13,13,120.0040795999812,None,120.82649599993601,None,None,0,120.82649599993601,None,128.82741426990833,None,128.82741426990833,None,None,0,128.82741426990833,None,,001,2021_Aug_18_1429,taskSwitching,2021.2.1,59.68627696463176,
,,,,,,,,,,,,128.8273826999357,None,,,,,,,,,,,,,,,,,,,,,
