1.2050 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.4426 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000129685B4978>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001296708E630>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.4428 	EXP 	window1: mouseVisible = True
14.4428 	EXP 	window1: recordFrameIntervals = False
14.6088 	EXP 	window1: recordFrameIntervals = True
14.7926 	EXP 	window1: recordFrameIntervals = False
15.1086 	EXP 	Created fixation = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='taskSamples/Fixation.png', interpolate=True, mask=None, maskParams=None, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
15.1109 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
15.1129 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
15.1148 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.7]), texRes=128.0, units='height', win=Window(...))
15.1378 	EXP 	Imported trial.xlsx as conditions, 50 conditions, 8 params
15.1381 	EXP 	Created sequence: sequential, trialTypes=50, nReps=1, seed=None
15.1383 	EXP 	New trial (rep=0, index=0): {'trialN': 1, 'images1': 'taskSamples\\A6_1.png', 'duration1': 8, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 1}
15.1837 	EXP 	fixation: autoDraw = True
15.9383 	EXP 	fixation: autoDraw = False
15.9383 	EXP 	image1: autoDraw = True
23.9601 	EXP 	New trial (rep=0, index=1): {'trialN': 2, 'images1': 'taskSamples\\A20_2.png', 'duration1': 8, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
23.9710 	EXP 	image1: autoDraw = False
23.9710 	EXP 	image1: autoDraw = False
23.9710 	EXP 	image: autoDraw = True
23.9710 	EXP 	image: autoDraw = False
23.9710 	EXP 	image: autoDraw = False
23.9710 	EXP 	image_2: autoDraw = True
23.9710 	EXP 	image_2: autoDraw = False
23.9710 	EXP 	image_2: autoDraw = False
23.9710 	EXP 	fixation: autoDraw = True
24.7754 	EXP 	fixation: autoDraw = False
24.7754 	EXP 	fixation: autoDraw = False
24.7754 	EXP 	image1: autoDraw = True
32.7873 	EXP 	New trial (rep=0, index=2): {'trialN': 3, 'images1': 'taskSamples\\B17.png', 'duration1': 5, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
32.7973 	EXP 	image1: autoDraw = False
32.7973 	EXP 	image1: autoDraw = False
32.7973 	EXP 	image: autoDraw = True
32.7973 	EXP 	image: autoDraw = False
32.7973 	EXP 	image: autoDraw = False
32.7973 	EXP 	image_2: autoDraw = True
32.7973 	EXP 	image_2: autoDraw = False
32.7973 	EXP 	image_2: autoDraw = False
32.7973 	EXP 	fixation: autoDraw = True
33.6188 	EXP 	fixation: autoDraw = False
33.6188 	EXP 	fixation: autoDraw = False
33.6188 	EXP 	image1: autoDraw = True
38.6097 	EXP 	New trial (rep=0, index=3): {'trialN': 4, 'images1': 'taskSamples\\B8.png', 'duration1': 5, 'images2': None, 'duration2': 0, 'images3': None, 'duration3': 0, 'correctAns': 2}
38.6192 	EXP 	image1: autoDraw = False
38.6192 	EXP 	image1: autoDraw = False
38.6192 	EXP 	image: autoDraw = True
38.6192 	EXP 	image: autoDraw = False
38.6192 	EXP 	image: autoDraw = False
38.6192 	EXP 	image_2: autoDraw = True
38.6192 	EXP 	image_2: autoDraw = False
38.6192 	EXP 	image_2: autoDraw = False
38.6192 	EXP 	fixation: autoDraw = True
39.4240 	EXP 	fixation: autoDraw = False
39.4240 	EXP 	fixation: autoDraw = False
39.4240 	EXP 	image1: autoDraw = True
44.4422 	EXP 	New trial (rep=0, index=4): {'trialN': 5, 'images1': 'taskSamples\\C4_Spatial_ADD_1.png', 'duration1': 8, 'images2': 'taskSamples\\C4_Spatial_ADD_2.png', 'duration2': 2, 'images3': 'taskSamples\\C4_Spatial_ADD_3.png', 'duration3': 5, 'correctAns': 1}
44.4529 	EXP 	image1: autoDraw = False
44.4529 	EXP 	image1: autoDraw = False
44.4529 	EXP 	image: autoDraw = True
44.4529 	EXP 	image: autoDraw = False
44.4529 	EXP 	image: autoDraw = False
44.4529 	EXP 	image_2: autoDraw = True
44.4529 	EXP 	image_2: autoDraw = False
44.4529 	EXP 	image_2: autoDraw = False
44.4529 	EXP 	fixation: autoDraw = True
45.2745 	EXP 	fixation: autoDraw = False
45.2745 	EXP 	fixation: autoDraw = False
45.2745 	EXP 	image1: autoDraw = True
53.2939 	EXP 	image1: autoDraw = False
53.2939 	EXP 	image1: autoDraw = False
53.2939 	EXP 	image: autoDraw = True
55.3124 	EXP 	image: autoDraw = False
55.3124 	EXP 	image: autoDraw = False
55.3124 	EXP 	image_2: autoDraw = True
