dotN,equations,numbers,field_position,pos1,pos2,correctR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,dots.started,dots.stopped,equation.started,equation.stopped,number.started,number.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,6.444524600054137,None,1,1.333964699995704,6.444524600054137,None,,,,,,,,,,,,,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
5,4+1,5,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",1,0,0,0,20,,,,,,,7.8299022000283,None,8.831173300044611,None,8.831173300044611,None,8.831173300044611,None,None,0,8.831173300044611,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
5,2+2,4,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,1,1,2,,,,,,,13.806082700029947,None,14.803662299993448,None,14.803662299993448,None,14.803662299993448,None,None,0,14.803662299993448,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
8,5+3,8,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",1,0,2,2,61,,,,,,,19.806219100020826,None,20.807293400052004,None,20.807293400052004,None,20.807293400052004,None,None,0,20.807293400052004,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
5,2+3,5,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",1,0,3,3,13,,,,,,,25.812650000094436,None,26.813861700007692,None,26.813861700007692,None,26.813861700007692,None,None,0,26.813861700007692,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
3,1+2,3,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,4,4,4,,,,,,,31.818312200019136,None,32.80166160000954,None,32.80166160000954,None,32.80166160000954,None,None,0,32.80166160000954,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
9,6+3,9,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",1,0,5,5,12,,,,,,,37.805878999992274,None,38.80723350006156,None,38.80723350006156,None,38.80723350006156,None,None,0,38.80723350006156,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
7,1+7,8,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",2,0,6,6,44,,,,,,,43.81134930008557,None,44.81251300009899,None,44.81251300009899,None,44.81251300009899,None,None,0,44.81251300009899,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
8,3+5,8,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,7,7,31,,,,,,,49.8036834000377,None,50.803492700099014,None,50.803492700099014,None,50.803492700099014,None,None,0,50.803492700099014,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
9,7+2,9,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",1,0,8,8,60,,,,,,,55.811851800070144,None,56.80638330010697,None,56.80638330010697,None,56.80638330010697,None,None,0,56.80638330010697,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
6,4+2,6,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",1,0,9,9,21,,,,,,,61.81443520006724,None,62.81348610005807,None,62.81348610005807,None,62.81348610005807,None,None,0,62.81348610005807,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
7,5+2,7,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",1,0,10,10,27,,,,,,,67.80450850003399,None,68.80313240003306,None,68.80313240003306,None,68.80313240003306,None,None,0,68.80313240003306,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
2,1+1,3,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",2,0,11,11,48,,,,,,,73.80615230009425,None,74.80865680007264,None,74.80865680007264,None,74.80865680007264,None,None,0,74.80865680007264,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
2,1+1,2,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",1,0,12,12,16,,,,,,,79.81054040009622,None,80.81217809999362,None,80.81217809999362,None,80.81217809999362,None,None,0,80.81217809999362,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
9,2+7,9,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",1,0,13,13,36,,,,,,,85.8156006000936,None,86.8189679000061,None,86.8189679000061,None,86.8189679000061,None,None,0,86.8189679000061,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
7,2+6,7,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",2,0,14,14,3,,,,,,,91.80419809999876,None,92.80535949999467,None,92.80535949999467,None,92.80535949999467,None,None,0,92.80535949999467,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
7,2+5,7,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",1,0,15,15,23,,,,,,,97.80978610005695,None,98.81127679999918,None,98.81127679999918,None,98.81127679999918,None,None,0,98.81127679999918,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
8,3+6,9,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",2,0,16,16,47,,,,,,,103.8169206000166,None,104.81637890008278,None,104.81637890008278,None,104.81637890008278,None,None,0,104.81637890008278,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
9,3+6,9,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",1,0,17,17,30,,,,,,,109.80515930010006,None,110.80401260009967,None,110.80401260009967,None,110.80401260009967,None,None,0,110.80401260009967,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
9,2+7,8,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",2,0,18,18,50,,,,,,,115.80832150008064,None,116.8102363999933,None,116.8102363999933,None,116.8102363999933,None,None,0,116.8102363999933,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
5,1+4,5,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",1,0,19,19,15,,,,,,,121.81455900007859,None,122.81635440001264,None,122.81635440001264,None,122.81635440001264,None,None,0,122.81635440001264,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
4,2+1,4,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",2,0,20,20,22,,,,,,,127.81166060001124,None,128.8072587000206,None,128.8072587000206,None,128.8072587000206,None,None,0,128.8072587000206,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
5,4+1,6,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",2,0,21,21,25,,,,,,,133.81074960005935,None,134.81087460007984,None,134.81087460007984,None,134.81087460007984,None,None,0,134.81087460007984,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
7,4+3,7,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",1,0,22,22,7,,,,,,,139.8132987000281,None,140.81520200008526,None,140.81520200008526,None,140.81520200008526,None,None,0,140.81520200008526,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
8,5+2,7,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,23,23,33,,,,,,,145.82030000002123,None,146.8037357000867,None,146.8037357000867,None,146.8037357000867,None,None,0,146.8037357000867,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
8,6+2,8,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",1,0,24,24,49,,,,,,,151.8108279000735,None,152.80947580002248,None,152.80947580002248,None,152.80947580002248,None,None,0,152.80947580002248,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
7,1+6,7,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",1,0,25,25,32,,,,,,,157.81490810005926,None,158.81400520005263,None,158.81400520005263,None,158.81400520005263,None,None,0,158.81400520005263,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
6,3+4,7,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",2,0,26,26,35,,,,,,,163.80203630006872,None,164.80407529999502,None,164.80407529999502,None,164.80407529999502,None,None,0,164.80407529999502,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
4,2+1,3,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,27,27,52,,,,,,,169.80757840001024,None,170.80792870000005,None,170.80792870000005,None,170.80792870000005,None,None,0,170.80792870000005,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
8,7+1,8,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",1,0,28,28,41,,,,,,,175.81390410009772,None,176.81357080000453,None,176.81357080000453,None,176.81357080000453,None,None,0,176.81357080000453,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
5,4+2,6,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",2,0,29,29,1,,,,,,,181.81866220000666,None,182.80451790010557,None,182.80451790010557,None,182.80451790010557,None,None,0,182.80451790010557,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
3,1+1,3,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",2,0,30,30,19,,,,,,,187.8264322000323,None,188.80906600004528,None,188.80906600004528,None,188.80906600004528,None,None,0,188.80906600004528,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
4,2+2,3,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",2,0,31,31,18,,,,,,,193.81184980005492,None,194.81365380005445,None,194.81365380005445,None,194.81365380005445,None,None,0,194.81365380005445,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
6,3+3,6,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",1,0,32,32,59,,,,,,,199.82144260010682,None,200.80437180004083,None,200.80437180004083,None,200.80437180004083,None,None,0,200.80437180004083,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
3,2+1,3,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",1,0,33,33,57,,,,,,,205.8121924001025,None,206.8085262000095,None,206.8085262000095,None,206.8085262000095,None,None,0,206.8085262000095,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
7,3+4,7,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,34,34,45,,,,,,,211.81292430008762,None,212.81527870008722,None,212.81527870008722,None,212.81527870008722,None,None,0,212.81527870008722,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
8,3+5,7,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",2,0,35,35,26,,,,,,,217.80295160005335,None,218.80258620006498,None,218.80258620006498,None,218.80258620006498,None,None,0,218.80258620006498,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
4,1+3,4,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",1,0,36,36,51,,,,,,,223.8082748000743,None,224.80782280000858,None,224.80782280000858,None,224.80782280000858,None,None,0,224.80782280000858,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
9,6+2,8,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,37,37,43,,,,,,,229.81163450004533,None,230.8125978000462,None,230.8125978000462,None,230.8125978000462,None,None,0,230.8125978000462,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
7,6+1,7,"(-0.3, -0.25)","(0.3, -0.25)","(0, 0.25)",1,0,38,38,54,,,,,,,235.8179727999959,None,236.8016301000025,None,236.8016301000025,None,236.8016301000025,None,None,0,236.8016301000025,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
8,2+6,8,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,39,39,6,,,,,,,241.80833720008377,None,242.8232897000853,None,242.8232897000853,None,242.8232897000853,None,None,0,242.8232897000853,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
7,2+5,8,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",2,0,40,40,29,,,,,,,247.81217500008643,None,248.8131955000572,None,248.8131955000572,None,248.8131955000572,None,None,0,248.8131955000572,None,,001,2021_Aug_17_1618,untitled,2021.2.1,60.52096448363777,
