dotN,equations,numbers,field_position,pos1,pos2,correctR,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,dots.started,dots.stopped,equation.started,equation.stopped,number.started,number.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,6.658356999978423,None,1,2.0228378999745473,6.658356999978423,None,,,,,,,,,,,,,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
6,3+2,5,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,0,0,8,,,,,,,8.725959800067358,None,9.744758100016043,None,9.744758100016043,None,9.744758100016043,None,None,0,9.744758100016043,None,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
9,5+4,9,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,1,1,46,,,,,,,14.720391100039706,None,15.71900360006839,None,15.71900360006839,None,15.71900360006839,None,None,0,15.71900360006839,None,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
8,4+3,8,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",2,0,2,2,39,,,,,,,20.722283800016157,None,21.72138909995556,None,21.72138909995556,None,21.72138909995556,None,None,0,21.72138909995556,None,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
8,5+2,7,"(0, 0.25)","(-0.3, -0.25)","(0.3, -0.25)",2,0,3,3,33,,,,,,,26.725920800003223,None,27.72956480004359,None,27.72956480004359,None,27.72956480004359,None,None,0,27.72956480004359,None,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
8,3+5,8,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,4,4,31,,,,,,,32.71695410006214,None,33.717947000055574,None,33.717947000055574,None,33.717947000055574,None,None,0,33.717947000055574,None,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
7,5+2,7,"(0.3, -0.25)","(-0.3, -0.25)","(0, 0.25)",1,0,5,5,27,,,,,,,38.722533000051044,None,39.72496270004194,None,39.72496270004194,None,39.72496270004194,None,None,0,39.72496270004194,None,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
7,2+5,7,"(0, 0.25)","(0.3, -0.25)","(-0.3, -0.25)",1,0,6,6,23,,,,,,,44.726593900006264,None,45.7263206000207,None,45.7263206000207,None,45.7263206000207,None,None,0,45.7263206000207,None,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
4,3+1,4,"(0.3, -0.25)","(0, 0.25)","(-0.3, -0.25)",1,0,7,7,5,,,,,,,50.715683400048874,None,51.71680379996542,None,51.71680379996542,None,51.71680379996542,None,None,0,51.71680379996542,None,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
9,4+5,9,"(-0.3, -0.25)","(0, 0.25)","(0.3, -0.25)",1,0,8,8,14,,,,,,,56.72034430003259,None,57.73743830004241,None,57.73743830004241,None,57.73743830004241,None,None,0,57.73743830004241,None,,001,2021_Aug_17_1623,untitled,2021.2.1,60.31141194251187,
